证券代码,"市盈率(PE,TTM)
[交易日期]3月前","市销率(PS，TTM)
[交易日期]3月前","净资产收益率ROE(TTM)
[交易日期]3月前
[单位]%
[TTM基准日]报表公告日期","总资产报酬率ROA(TTM)
[交易日期]3月前
[单位]%
[TTM基准日]报表公告日期","企业倍数(EV2/EBITDA)
[交易日期]3月前","BIAS乖离率
[交易日期]3月前
[周期]20
[复权方式]不复权
[计算周期]日
[单位]%","RSI相对强弱指标
[交易日期]3月前
[周期]14
[复权方式]不复权
[计算周期]日","换手率
[交易日期]3月前
[单位]%","营业利润/营业总收入(TTM)
[交易日期]3月前
[单位]%
[TTM基准日]报表公告日期","月收盘价
[交易日期]2020-03-19
[复权方式]不复权","月收盘价
[交易日期]2020-04-17
[复权方式]不复权"
000066.SZ,40.7164,3.5739,11.5212,5.9185,24.7236,-8.9882,41.0631,2.9895,10.9562,11.94,11.83
000068.SZ,-20.2897,18.7538,-29.5526,-2.9977,58.7701,-11.0421,30.257,1.1899,-95.1946,3.06,3.43
000069.SZ,4.0099,0.8624,16.7491,5.311,5.6116,-14.4401,24.0258,1.5916,31.52,6.39,6.52
000070.SZ,41.3273,1.8047,7.086,4.3656,16.914,-5.5821,46.2796,4,5.405,9.13,9.15
000078.SZ,37.5905,0.3174,5.5696,4.8963,11.7614,-14.6484,39.8,3.7672,2.2266,4.57,4.18
000088.SZ,23.9661,14.9833,5.1359,4.8204,17.0408,-5.7493,32.9517,0.2931,74.1025,4.43,4.44
000089.SZ,26.0676,3.9802,4.7414,4.9498,10.4666,-10.8468,26.4307,0.7959,21.8088,7.64,8.25
000090.SZ,9.972,0.7342,8.9285,3.3396,7.2384,-6.477,35.8982,0.6269,10.3082,4.65,6.39
000096.SZ,46.3582,3.378,4.3278,4.0811,29.4711,-6.1874,41.0984,0.4196,9.0497,10.65,10.78
000099.SZ,17.2992,2.3982,6.7069,6.6118,7.115,-7.321,35.3177,0.766,15.7356,6.02,6.76
000100.SZ,19.1748,0.7573,11.8089,4.118,8.8027,-16.4248,39.9677,5.4574,5.0946,4.14,4.64
