证券代码,"市盈率(PE,TTM)
[交易日期]3月前","市销率(PS，TTM)
[交易日期]3月前","净资产收益率ROE(TTM)
[交易日期]3月前
[单位]%
[TTM基准日]报表公告日期","总资产报酬率ROA(TTM)
[交易日期]3月前
[单位]%
[TTM基准日]报表公告日期","企业倍数(EV2/EBITDA)
[交易日期]3月前","BIAS乖离率
[交易日期]3月前
[周期]20
[复权方式]不复权
[计算周期]日
[单位]%","RSI相对强弱指标
[交易日期]3月前
[周期]14
[复权方式]不复权
[计算周期]日","换手率
[交易日期]3月前
[单位]%","营业利润/营业总收入(TTM)
[交易日期]3月前
[单位]%
[TTM基准日]报表公告日期","月收盘价
[交易日期]2020-03-19
[复权方式]不复权","月收盘价
[交易日期]2020-04-17
[复权方式]不复权"
002582.SZ,23.6127,0.763,5.6618,3.1042,13.4587,-9.5292,39.6734,2.3923,4.1362,9.85,9.09
002583.SZ,-2.7855,1.5373,-77.7868,4.3948,23.8156,-9.6927,39.5658,3.8782,7.1795,5.83,6.56
002584.SZ,114.5183,1.3162,1.9734,2.0658,33.1213,9.6892,63.4977,27.7641,0.8515,7.42,7.55
002585.SZ,35.2871,1.4789,2.4522,2.8234,10.5264,9.2124,60.6135,17.2192,4.7644,5.06,5.22
002587.SZ,22.8593,3.3713,13.4604,10.5396,16.4296,-10.5621,38.0408,2.1256,16.7311,6.31,6.09
002588.SZ,41.1287,0.7644,2.4521,1.982,13.9052,-9.3928,35.5287,0.8217,2.0581,4.58,4.94
002589.SZ,-7.8146,0.2257,-14.2005,7.1682,14.965,-14.9482,21.9915,2.1393,0.5565,5.42,5.15
002590.SZ,26.8774,1.5354,6.8236,-1.6665,12.7767,-7.6727,43.3023,1.0908,6.1652,6.87,6.83
002591.SZ,27.9023,6.2522,6.6369,7.2064,18.4345,-13.468,33.5333,2.5693,27.6584,7.39,7.16
002592.SZ,-6.6661,3.3723,-27.0314,0.17,-8.1955,-16.9398,22.0431,1.312,-47.0066,9.02,11.51
002593.SZ,29.2859,0.924,4.392,3.5148,15.9385,-5.9107,42.9045,2.0913,3.5743,3.48,3.49
002594.SZ,49.5563,1.0387,4.9812,3.6289,12.9519,-17.5979,32.354,1.7033,2.9628,59.97,59.96
002595.SZ,16.6369,3.2817,17.4136,14.5321,11.8419,-14.2557,31.1391,0.5443,23.1125,16.91,18.09
002596.SZ,-24.1131,3.5091,-12.0839,4.291,-120.8152,4.1364,54.6154,6.0639,-12.3808,8.54,6.92
002597.SZ,13.3067,2.7095,18.0444,15.0966,8.5587,-13.4382,29.0032,1.0037,23.662,20.24,20.24
002598.SZ,23.3551,1.7209,9.2371,7.6972,18.0911,-8.521,40.292,0.9925,7.987,5.89,6.04
002599.SZ,17.2314,1.2711,8.279,6.385,8.6436,-5.9581,45.2118,1.6781,8.9439,4.35,3.96
002600.SZ,32.7745,2.6316,16.4575,8.0495,19.1906,-19.044,30.3477,7.2204,9.4343,8.22,9.28
002601.SZ,11.2532,2.5516,18.6679,11.3528,8.454,-12.1539,36.2403,1.1672,26.712,14.93,16.66
002602.SZ,36.7826,5.705,9.2824,3.307,23.2589,2.7082,55.3946,2.7812,5.7877,12.35,13.9
002603.SZ,34.1885,3.5153,7.574,7.8587,20.5166,5.6994,56.7326,6.1383,12.3664,22.45,28.78
002604.SZ,-0.409,2.3937,——,-208.8697,-21.0901,-14.5038,38.3215,——,-293.009,1.96,1.96
002605.SZ,30.6004,6.2048,23.5537,15.4304,19.4187,-14.4791,36.7553,4.4445,28.4299,29.9,28
002606.SZ,68.5238,4.3393,5,3.8209,31.9172,10.7692,58.1727,14.8217,5.3344,6.98,8.24
002607.SZ,79.0855,15.5527,52.587,22.0338,60.6098,6.8649,66.3328,2.0139,22.7838,22.77,25.79
002608.SZ,10.0756,1.1409,8.8363,7.6782,7.0159,-4.833,35.971,0.0884,18.511,6.48,6.38
002609.SZ,48.7359,5.9023,6.8978,3.832,31.8395,-10.5912,39.4745,1.2623,12.9158,9.99,10.4
002610.SZ,157.2405,1.493,1.1466,4.0753,-10.4316,-0.9009,51.9748,5.2699,1.8285,1.57,1.51
002611.SZ,4.2143,0.7096,38.8019,-60.2556,2.6075,-9.2347,42.69,3.1516,18.2665,4.45,4.52
002612.SZ,51.0177,1.1314,2.245,5.9371,12.7322,-4.9294,41.5356,0.8128,5.5382,8.2,7.14
002613.SZ,220.5438,4.0609,1.3114,0.684,42.3943,-12.1025,50.225,16.9353,2.11,3.89,3.63
002614.SZ,20.1734,1.2173,9.463,5.6388,15.0298,-12.8329,42.9187,13.9292,7.1327,11.85,8.88
002615.SZ,17.9728,1.0798,12.1485,7.735,13.2883,-6.1014,37.2986,1.0657,7.3621,4.84,4.38
002616.SZ,20.529,2.4294,12.2729,5.8833,13.2682,-1.8773,46.9805,1.0745,16.2974,8.07,9.48
002617.SZ,220.8398,3.6229,1.4273,-8.5001,27.4683,-5.6173,48.9058,4.5396,1.6682,4.99,4.95
002618.SZ,224.7549,17.7248,1.5701,2.2527,——,-8.8178,41.3203,1.3822,6.7345,9.84,8.92
002619.SZ,-1.6908,7.4455,-76.7587,15.0503,-1.4371,-14.1615,26.7786,1.5765,-515.8093,2.29,2.27
002620.SZ,13.3934,0.5653,6.9291,4.5977,8.4686,-3.3438,43.8288,0.7447,5.9713,5.54,5.37
002621.SZ,59.604,10.2927,7.5504,5.0519,20.9658,-6.2257,40.9561,0.4294,35.9353,10.5,8.65
002622.SZ,379.1492,17.5764,0.5608,2.7733,43.3591,-7.7098,40.3368,1.9309,5.9978,3.22,3.02
002623.SZ,-48.8667,3.9917,-4.6164,1.9761,39.6382,-23.9279,32.4462,4.7298,-9.3634,25.09,35.51
002624.SZ,39.6578,7.4203,15.8059,12.7885,34.7227,-2.5792,48.3953,1.9019,16.7838,47.55,47.29
002625.SZ,136.0329,33.7057,1.5492,0.2303,123.0553,-11.6527,36.8943,1.1528,26.1866,7.32,7.94
002626.SZ,27.8057,3.824,15.1135,16.2679,16.5795,-5.8522,43.9157,2.072,17.5919,22.05,20.07
002627.SZ,24.262,1.3186,5.4938,4.3022,10.9397,-5.3655,41.0934,1.0036,7.658,8.93,9.76
002628.SZ,69.411,1.093,1.5925,1.387,24.4527,-7.3475,39.2217,1.3387,2.2863,4.04,3.98
002630.SZ,85.5903,0.7543,0.9734,-0.0538,17.7888,-5.3079,42.2566,3.2121,0.8313,2.17,2.21
002631.SZ,59.1653,2.753,4.5349,3.2107,19.4292,-11.2312,37.8628,0.7298,6.7999,8.08,7.34
002632.SZ,21.6162,3.2524,10.7878,9.8588,15.2648,-8.7044,43.0367,1.4632,17.6158,7.64,8.47
002633.SZ,-47.298,9.6836,-5.0836,-0.8281,228.661,-2.8355,41.4374,0.4039,-20.6507,7.9,7.44
002634.SZ,65.5308,3.8893,5.2252,1.957,28.3633,-5.0269,41.1937,2.1739,7.4414,4.76,5.86
002635.SZ,30.6208,4.2768,7.9555,6.4604,-37.0966,-13.2144,38.318,4.5135,-3.3115,17.62,19.14
002636.SZ,39.3247,1.8437,5.7725,3.5037,22.9755,-9.5111,42.562,0.9787,5.1711,7.96,8.01
002637.SZ,14.9071,0.8402,13.5562,6.1683,9.0493,11.4964,60.0646,11.2691,8.2461,13.23,11.65
002638.SZ,136.7987,3.3927,0.8033,-26.8605,——,-6.9089,36.2629,1.4668,-99.5015,3.03,2.71
002639.SZ,95.68,3.5085,2.4895,3.2422,26.0002,-10.3208,41.789,4.7337,4.1349,7.4,7.2
002640.SZ,18.4412,0.4655,10.8741,6.8729,-3.8925,-8.1983,40.3227,4.7305,3.063,5.8,5.63
002641.SZ,11.4966,0.9356,15.1351,8.2075,7.4292,-12.3746,35.8229,0.9925,9.4443,5.56,6.8
002642.SZ,136.9198,1.3019,1.0913,-33.7366,29.1234,-10.6356,37.5675,3.0209,1.3158,6.69,5.45
002643.SZ,26.311,4.6374,10.498,10.235,15.1682,-15.3439,35.9912,1.1196,21.3031,12.67,15.22
002644.SZ,56.4806,7.0078,5.1254,4.4692,32.5003,1.5602,50.9533,5.3712,14.5349,8.8,8.55
002645.SZ,24.5492,2.0617,9.3082,8.7146,15.9336,-2.5105,52.0181,1.5316,10.014,10.72,10.5
002646.SZ,110.9537,3.2667,1.5558,2.8934,27.8687,-7.5156,32.113,0.4266,4.6741,9.19,9.15
002647.SZ,437.6182,7.2331,3.0636,4.3482,109.5252,3.203,63.4258,1.1331,2.6726,23.52,29.59
002648.SZ,11.7842,1.3993,13.8745,9.1047,8.1336,-14.4907,38.3629,2.8685,13.6101,13.04,13.83
002649.SZ,22.0736,1.4606,8.9255,7.0151,12.2101,-6.1958,45.7463,5.0533,7.3961,9.01,8.73
002651.SZ,26.1647,6.7455,8.0574,5.1391,18.0598,-0.5886,49.6216,1.0726,29.7302,4.39,5.09
002652.SZ,596.5402,0.7812,0.629,1.1258,——,-4.723,41.8427,0.5604,-0.2099,3.42,3.25
002653.SZ,39.6199,5.0361,21.1066,9.0792,30.7621,-15.442,27.4597,1.1253,14.2026,19.79,19.92
002654.SZ,-3.449,0.9346,-55.9706,-23.1977,16.1674,-9.7236,40.3615,1.588,-23.3637,4.15,3.99
002655.SZ,118.2377,3.7478,6.0153,4.1089,31.6899,-13.7729,34.1877,4.479,3.3779,9.2,9.09
002657.SZ,-19.7731,3.0945,-11.6521,1.1914,-19.8842,-10.6826,36.1913,2.9968,-15.4245,14.31,14.07
002658.SZ,27.3119,3.0797,6.5641,4.8437,15.1043,-8.2875,40.6078,0.9889,13.4005,6.06,5.84
002659.SZ,66.4247,3.4319,1.9144,-1.9762,14.2566,-13.8243,29.6905,1.3921,4.5521,5.32,5.43
002660.SZ,-12.0949,2.044,-34.4074,-12.5019,20.8755,-0.0801,52.0225,7.0823,-17.4384,9.8,10.63
002661.SZ,22.5023,1.5496,9.2966,6.2664,13.3709,-9.4249,44.2559,4.0366,8.2748,17.75,17.68
002662.SZ,-1.6893,1.153,-81.1293,-14.7115,-2.8318,-13.354,43.9544,1.2247,-66.8116,2.64,4.15
002663.SZ,582.1952,1.3149,0.1889,1.0858,-4.832,-4.1017,45.6788,1.2397,0.0234,2.4,2.3
002664.SZ,18.3417,1.8705,12.4476,8.3461,12.403,-8.4576,37.3537,1.0627,13.0454,13.51,13.28
002665.SZ,101.9651,10.5203,1.1511,-8.6169,34.0812,-11.0398,39.7631,5.7262,5.4512,3.03,2.71
002666.SZ,18.0523,0.993,7.4772,5.9392,11.8737,-13.5912,37.536,2.8188,6.5894,5.37,5.41
002667.SZ,153.8231,6.409,1.1943,1.9406,47.7801,-7.4867,41.9189,3.1563,5.141,6.1,6.36
002668.SZ,87.1951,0.6817,2.2643,-15.8066,11.145,-10.3009,36.762,3.278,1.9176,4.47,4.95
002669.SZ,26.1556,3.4105,6.5114,5.1583,17.1264,-11.8214,41.6352,4.7403,14.6245,13,14.16
002670.SZ,-97.5947,12.8288,-1.7059,——,——,-10.7287,37.02,1.1049,-11.6882,9.73,8.75
002671.SZ,293.5246,1.8296,0.3477,-4.5122,12.9258,-2.7622,44.3396,0.8887,0.9332,4.45,4.27
002672.SZ,23.1678,2.512,8.4559,6.4754,9.3782,-6.7527,42.4692,1.356,15.4419,9.46,9.93
002673.SZ,48.6151,8.2171,3.5202,——,——,-9.0334,37.2493,0.9823,20.4329,8.27,7.95
002674.SZ,16.5142,1.5651,6.7234,5.2875,9.5876,-7.4854,31.9576,1.229,11.1282,9.3,8.21
002675.SZ,67.547,3.4505,3.5966,8.5312,20.5947,-15.6884,28.0963,1.88,13.5518,13.52,15.85
002676.SZ,431.2148,2.2182,0.8279,2.8785,39.8911,34.1969,67.0884,10.3066,1.0615,3.54,3.78
002677.SZ,15.5451,4.2472,30.392,25.3547,11.4776,-10.3526,30.1701,1.7451,31.7813,11.51,10.93
002678.SZ,48.0391,4.3958,5.4874,4.9581,25.7308,-8.9276,29.3444,0.0538,10.6233,6.41,8.08
002679.SZ,727.4529,26.1335,0.6144,5.221,79.5999,-7.1782,39.286,0.7011,3.0123,14.27,11.17
002682.SZ,17.8237,0.3706,4.5183,4.221,9.1095,-4.8929,40.3857,1.0537,3.7882,4.06,3.93
002683.SZ,59.7733,3.1525,9.4102,5.9046,27.8155,-15.1789,44.0651,3.2612,7.0261,22.57,30.07
002685.SZ,15.6762,0.4116,7.2703,2.8783,12.0695,-13.5678,34.0815,1.4425,3.1694,5.21,4.62
002686.SZ,-76.9905,1.5243,-2.7892,-0.1616,-10.1108,-7.2848,34.6567,0.5739,-7.4876,5.16,5.27
002687.SZ,14.588,1.7668,11.7066,10.5745,7.2837,-2.9536,45.9162,6.1583,16.6703,5.25,5.13
002688.SZ,23.3877,2.4059,10.9209,8.4761,13.5179,-10.7379,39.1222,2.0467,10.5068,7.7,7.26
002689.SZ,-39.3516,5.2354,-8.2751,-0.7825,-77.8039,1.0579,50.9952,4.2497,-13.4223,3.63,3.21
002690.SZ,40.6512,14.71,22.8559,22.0763,33.6606,-11.378,36.2666,1.2102,41.9161,37.72,42.05
002691.SZ,110.3779,4.4405,1.764,2.1698,43.6886,-4.9744,41.2414,0.8357,4.5961,5.01,4.88
002693.SZ,74.0682,6.0748,5.2051,-7.4401,27.8455,-3.855,45.8017,1.6549,-1.9419,5.77,5.19
002694.SZ,-14.082,1.183,-12.9355,-4.7706,——,-8.1571,41.0054,2.5973,-10.9405,3.04,2.77
002695.SZ,42.7461,4.4501,10.2447,9.5158,26.3727,4.7733,60.1544,1.6357,12.4649,22.08,20.32
002696.SZ,-8.3689,0.8251,-21.1899,1.227,-22.7246,14.7918,70.4735,10.195,-13.0845,6.62,6.02
002697.SZ,22.9034,1.5108,16.8792,10.0084,15.5559,-0.4183,52.4347,1.6773,7.2582,9.73,9.88
002698.SZ,29.9974,6.3679,13.5289,9.1143,22.2786,-11.5931,33.5232,0.8255,26.4527,9.08,10.51
002699.SZ,70.2998,3.363,2.0984,-6.239,44.6002,-12.4539,31.61,1.0327,6.2625,4.79,5.11
002701.SZ,45.3698,1.1382,3.6695,5.3981,7.3727,-8.0068,29.3356,0.8698,5.9036,4.03,4.06
002702.SZ,340.0741,1.6798,0.8678,2.7396,53.3734,3.6181,56.1969,9.2426,0.6391,5.29,5.55
002703.SZ,-164.2403,3.89,-1.6988,-1.5483,-24.4543,-5.9785,45.7222,1.2533,-3.2352,4.38,4.15
002705.SZ,22.9987,1.7321,15.9846,8.9258,13.7984,-2.0416,47.3959,1.0004,8.5934,18.58,26.68
002706.SZ,30.2783,4.0589,15.1263,12.404,20.9194,1.1031,56.1802,1.6714,14.0649,11.82,12.99
002707.SZ,58.3732,0.3718,3.345,0.0108,21.8178,-8.4296,40.8192,2.9167,0.9998,4.56,5.16
002708.SZ,286.3067,2.481,0.7943,-4.1774,19.9908,-4.2398,43.8847,1.9724,0.5119,6.18,6.35
002709.SZ,649.5816,4.1618,0.6329,2.5855,43.6811,-17.3358,30.3315,1.8942,0.5772,19.52,27.46
002712.SZ,77.1061,1.1805,1.4705,1.0141,25.8334,-8.3831,36.9284,2.4669,2.4683,5.9,6.34
002713.SZ,-11.0412,0.7245,-34.6517,4.5365,-26.1634,-16.0051,40.644,1.0664,-4.7188,6.18,6.08
002714.SZ,43.3143,13.097,26.4602,12.9285,31.201,-0.3199,56.2484,1.8414,31.2286,122.21,127.4
002715.SZ,409.5191,4.7412,0.7881,2.1074,35.2575,-12.1961,30.1954,0.7262,1.6396,17.91,21.77
002717.SZ,17.1001,0.8611,8.1497,4.2093,13.2032,-14.8404,29.3581,2.1581,6.3597,4.49,4.02
002718.SZ,21.5108,2.9002,7.5732,3.0504,18.543,7.2349,60.0551,3.4395,12.9651,13.8,12.77
002721.SZ,50.7205,0.333,1.5449,4.9253,13.3722,-10.3798,34.8759,1.5248,1.1636,4.38,4.08
002722.SZ,18.8572,0.9333,5.9698,6.082,16.3555,-7.0193,35.0706,0.6798,6.579,12.32,12.11
002723.SZ,42.7172,1.6047,6.2115,-2.1189,21.1571,-3.699,43.3319,1.0396,3.5875,10.04,13.8
002724.SZ,19.8401,3.4204,12.3642,10.3668,14.1256,-5.2512,46.8726,1.717,19.8358,6.53,6.08
002725.SZ,77.6405,3.7245,3.5599,6.2484,31.6081,-5.2219,48.2197,5.0268,5.3445,9.63,9.57
002726.SZ,25.9575,0.362,10.152,5.5487,15.2434,-6.3979,39.1003,1.1406,2.0639,6.74,7.7
002727.SZ,17.8952,1.0311,13.14,9.743,10.62,-11.0997,25.1205,1.4965,7.0526,25.86,25.54
002728.SZ,17.9397,3.3442,14.892,10.5669,13.7636,-8.4043,31.3501,0.7511,21.4495,15.08,13.5
002729.SZ,135.3415,16.4231,4.8275,4.7592,72.4998,-2.439,47.1934,0.5127,14.0436,38.85,34.35
002730.SZ,56.9968,2.4029,4.3611,6.9844,21.7038,-8.612,40.2335,0.538,6.5637,7.05,7.29
002731.SZ,43.8965,0.677,2.851,3.6152,11.6,-8.0618,33.2847,1.8959,2.7997,6.86,6.97
002732.SZ,23.4315,1.9376,12.1832,8.2185,12.6123,-6.8199,35.9997,0.8794,10.0526,20.86,18.45
002733.SZ,43.5517,2.5564,7.4,6.2866,25.5383,-11.479,36.6783,3.1438,6.076,20.16,21.2
002734.SZ,11.9937,1.3763,15.7018,9.0834,7.9299,-5.6891,42.0363,1.186,13.6636,16.37,17.59
002735.SZ,44.3617,1.8979,8.6413,7.1006,20.7193,-2.7847,45.4934,1.5523,6.591,18.02,19.17
002736.SZ,18.6192,6.5066,8.7597,——,——,-8.029,37.7407,0.3007,45.8591,11.1,10.69
002737.SZ,13.4308,1.7938,18.0854,15.0466,7.3274,-7.6255,28.3069,1.0027,18.002,13.78,13.9
002738.SZ,28.9094,3.6411,5.4142,6.7895,16.0613,-9.7111,36.1886,1.1056,15.4913,14.87,14.42
002739.SZ,-7.0047,2.1198,-34.1292,2.1767,-12.602,-6.4448,39.3438,1.1604,-28.6028,15.75,16.7
002740.SZ,-11.8342,1.8781,-12.413,3.0741,-36.7561,-10.879,40.6484,2.5755,5.5684,8.11,5.12
002741.SZ,312.4957,3.0979,1.3585,2.2632,54.9376,7.7203,60.0769,9.5856,0.2994,11.7,11.21
002742.SZ,24.1879,0.8291,7.2948,6.4362,9.5101,0.2368,50.66,3.21,5.5013,5.88,6.8
002743.SZ,24.0512,0.5685,4.4442,2.9275,17.2016,1.0323,53.55,3.8189,2.6534,6.54,6.36
002745.SZ,17.7099,0.719,7.8197,4.8256,8.4855,-11.5023,34.0267,1.5864,6.6222,11.34,11.55
002746.SZ,6.6522,1.8897,30.4552,19.9949,4.5259,-4.582,44.4155,2.8773,30.3915,15.5,13.55
002747.SZ,101.8021,6.558,5.458,3.9446,49.5258,-9.4776,40.0624,1.4916,6.2357,9.25,10.39
002748.SZ,-84.86,0.7131,-1.6765,1.3887,25.0687,-3.4833,42.1756,0.3674,-0.9075,6.88,6.64
002749.SZ,19.7797,3.8369,17.6456,19.5219,14.5648,-4.6054,37.5918,0.3537,22.9059,11.28,12.03
002750.SZ,"3,225.50",13.6385,0.1846,-1.9145,"2,304.75",-15.0611,24.3517,1.4628,1.6084,9.46,9.1
002751.SZ,68.9614,2.9671,3.6431,4.9078,26.8999,-12.9885,35.6025,2.9437,6.8421,22.5,20.3
002752.SZ,77.0394,1.583,3.0444,2.1138,19.5884,-6.9056,32.0325,0.1628,1.6685,5.14,5.32
002753.SZ,28.5476,0.907,5.06,6.2374,16.856,-4.2863,39.0933,0.6513,3.279,6.79,6.87
002755.SZ,17.6869,3.1057,31.5672,23.3174,13.4857,-5.0132,41.5716,2.3983,19.7781,15.43,18.73
002756.SZ,17.2575,1.2378,10.3855,10.8928,11.2263,-13.8688,32.4733,2.2282,8.7545,15.27,15.79
002757.SZ,22.1704,2.9616,11.4388,9.5254,14.8675,-8.5308,47.8615,4.8389,15.3069,21.3,23.59
002758.SZ,94.7025,1.2465,3.3161,4.1887,25.046,-7.7479,36.2677,0.7647,1.8192,10.29,10.6
002759.SZ,83.5371,3.9101,1.3559,13.4992,33.0062,-10.379,36.1367,0.7926,5.214,7.29,6.64
002760.SZ,24.2448,2.6881,11.6915,4.3762,15.4345,0.0617,52.5516,2.0815,13.0633,18.01,19.1
002761.SZ,3.6985,0.0408,18.0942,-0.01,6.7813,-9.0061,38.4649,1.7699,1.6638,9.35,9.4
002762.SZ,38.7006,4.1589,4.7354,2.4041,24.066,-5.2176,41.4721,1.851,12.0163,5.18,5.08
002763.SZ,17.3422,1.2151,9.7658,11.8203,7.0401,-7.5824,39.102,1.4062,10.6301,7.38,7.16
002765.SZ,-15.8287,1.8897,-8.861,-3.2282,-32.7574,-6.5302,41.7973,3.5406,-15.5609,4.26,4.15
002767.SZ,62.4788,5.4573,3.798,1.9042,48.1545,-9.1687,31.0122,1.1353,9.8613,11.43,13.23
002768.SZ,25.1856,1.9584,16.5369,9.3421,19.4511,-1.0958,50.3874,17.331,8.9631,44.61,36.56
002769.SZ,42.6873,0.4093,4.5187,0.1044,22.7076,-9.3679,33.9079,1.2661,1.2696,6.9,6.98
002770.SZ,-47.4355,2.897,-2.9151,3.6423,——,-5.4322,42.3206,2.2714,5.905,2.6,2.49
002771.SZ,98.1326,3.4901,4.2502,2.9131,54.7044,-8.2532,46.7865,5.3965,3.7677,12.83,13.17
002772.SZ,40.9696,2.4559,2.6654,1.6631,12.8711,9.5813,65.6936,6.8922,6.4346,8.27,7.68
002773.SZ,43.7683,9.6499,15.5434,14.155,32.4585,1.3809,50.3338,0.7262,25.1963,39.38,38.38
002774.SZ,106.3892,2.719,1.9386,3.223,55.477,-7.3205,40.9637,1.9036,3.2804,6.41,6.37
002775.SZ,10.868,0.9302,9.7261,8.6895,7.9767,-4.3636,41.2113,0.7755,10.0185,5.21,5.05
002776.SZ,29.8015,4.654,6.1257,7.2573,16.5153,-18.8857,34.246,4.3742,17.6058,8.33,7.63
002777.SZ,56.2552,8.9048,14.14,8.0885,38.3463,-7.0855,45.2826,1.1943,19.4313,38.95,43.78
002778.SZ,112.9389,2.6484,2.6193,1.828,42.0394,-7.2839,41.3917,0.8297,2.4995,21.95,22.53
002779.SZ,163.7143,4.9133,1.9135,1.0523,75.5275,3.7928,55.9535,1.186,2.94,15.72,13.43
002780.SZ,602.0856,6.1336,0.6892,0.6767,-147.5271,-14.5879,35.0894,3.3154,1.4701,16.4,18.95
002781.SZ,28.4861,0.7668,5.4763,5.2512,16.9352,-7.0536,29.8744,1.7489,3.9118,14.44,13.92
002782.SZ,151.2557,3.5786,3.2332,9.5171,53.3728,-7.2083,38.9462,0.7651,9.6468,9.42,10.92
002783.SZ,74.7384,2.052,3.0313,4.9062,13.1773,-4.8057,43.2896,2.8807,9.7579,9.89,9.4
002785.SZ,-68.1654,2.4207,-5.8845,1.8835,-241.8135,-8.8003,34.1065,0.8819,-4.2684,13.09,16.64
002786.SZ,-23.917,1.0516,-14.1838,-1.8624,-59.1594,-12.4765,39.5396,1.7797,-5.5473,7.14,8.47
002787.SZ,28.7262,1.2129,4.5928,3.9192,12.2943,-8.5923,33.7823,1.8301,5.3464,6.24,6.93
002788.SZ,10.698,0.1808,13.4194,6.2666,10.5007,-6.3597,35.6216,1.006,2.3515,7.81,8.51
002789.SZ,72.1124,0.6363,2.2293,4.4441,25.069,-4.6635,37.1103,1.9719,1.3719,13.91,13.49
002790.SZ,14.3133,2.3768,11.1416,10.4196,7.693,-0.446,50.3067,1.2014,18.9087,5.89,6.32
002791.SZ,36.7122,2.9444,13.7202,7.5509,25.3,-10.0051,45.3498,2.0527,9.2219,54.78,68.52
002792.SZ,405.0692,6.1032,1.2868,2.2874,117.773,-3.7803,50.0368,8.7828,2.9833,27,25.93
002793.SZ,7.9739,0.6661,17.2312,1.2343,6.0562,-5.9123,43.893,3.0892,9.5544,13.26,14.11
002795.SZ,39.7413,4.0617,9.9538,12.7746,26.6262,-6.7875,35.4699,0.4574,12.7286,12.52,14.95
002796.SZ,70.4316,3.5959,6.2983,6.2575,39.2532,-7.4698,47.3292,6.6909,6.8188,35.71,35.3
002797.SZ,48.4683,9.6262,5.6732,——,——,-8.9452,39.2527,3.0462,26.6106,6.9,6.96
002798.SZ,14.9362,1.5204,15.5411,9.183,11.8878,-10.8572,39.7739,2.0671,11.3921,23.24,29
002799.SZ,34.7252,1.843,11.0273,6.4095,18.9212,-10.7514,34.5931,0.5825,7.3014,16.37,16.91
002800.SZ,77.6464,1.3846,4.6422,4.895,46.4394,-11.3705,34.5223,2.0322,2.9382,23.77,19.29
002801.SZ,24.2419,5.0455,16.2837,15.4275,19.0477,-5.0158,43.0335,4.7181,23.8322,32.65,35.05
002802.SZ,23.0996,3.8161,15.6936,14.8343,15.6578,-4.4403,44.3427,1.1042,19.0218,18.31,18.44
002803.SZ,20.9978,2.2698,23.0721,16.3542,14.5462,-17.7998,32.5135,3.1908,12.8816,27.48,30.11
002805.SZ,162.3394,4.0154,1.9363,2.7357,38.7332,-13.4273,39.0372,4.2052,3.1155,11.77,11.57
002806.SZ,37.2173,3.0129,4.2627,3.9337,22.5005,-8.5651,39.9831,1.5721,9.3548,11.88,11.38
002807.SZ,8.9069,2.6464,8.6073,——,——,-4.74,41.4119,1.0034,33.4703,4.12,4.15
002808.SZ,104.119,7.1139,3.7068,3.8353,55.2808,-6.3488,41.9685,5.6885,9.9478,8.11,8.68
002809.SZ,15.9438,1.7617,11.0286,5.6491,13.4649,-0.9237,49.3125,2.257,13.4122,17.55,20.33
002810.SZ,19.5304,2.7457,17.1115,12.5268,11.5008,-9.8006,33.7071,0.7994,16.7678,16.08,18.61
002811.SZ,19.6339,1.1018,8.6638,5.511,11.8606,4.9106,58.7385,1.2523,6.7221,14.29,14.17
002812.SZ,45.7822,12.3142,18.6734,9.4948,29.7609,-15.2032,32.0243,1.804,33.6343,42.5,54.81
002813.SZ,-8.1266,3.6067,-111.8015,-2.908,-12.7249,-10.5245,42.7908,3.5504,-37.1117,21.79,19.75
002815.SZ,31.0036,4.3869,13.5778,11.7876,18.6397,-10.8604,44.0929,5.5518,15.782,16.53,17.73
002816.SZ,-42.469,18.4101,-13.65,-4.0524,-37.6011,6.4257,69.3793,1.0462,-48.0497,28,27.18
002817.SZ,51.8801,6.2029,5.3718,4.2275,27.5493,-3.5257,42.7629,1.5117,13.2469,22.59,21.21
002818.SZ,10.736,5.3469,16.2311,15.215,6.4727,-3.3976,43.8098,0.8079,59.578,12.06,11.24
002819.SZ,60.207,3.3487,11.0548,8.6429,30.2642,-10.7823,37.9079,1.539,8.6835,22.39,22.66
002820.SZ,25.0349,4.1525,7.8121,9.3404,11.7285,-3.9933,41.4712,0.6302,20.5662,12.44,10.61
002821.SZ,67.2203,15.1796,18.2466,15.6077,58.9489,-10.2874,41.5139,1.9992,25.4222,171.69,188.73
002822.SZ,24.6736,1.2618,8.5807,7.2799,15.2509,-11.1356,38.8694,6.6932,6.6009,10.06,10.4
002823.SZ,43.1408,1.5202,5.2143,3.2316,15.0236,-12.4753,41.2985,2.7969,3.8763,10.01,9.83
002824.SZ,"1,610.44",2.6495,0.2575,1.3622,41.8449,-14.0909,47.4794,5.8802,0.771,16.03,19.56
002825.SZ,46.7818,2.0164,6.0997,5.911,27.5537,7.5178,58.9307,4.0362,5.0481,14.3,14.66
002826.SZ,52.9397,3.4992,5.6073,4.4189,30.755,-5.7429,40.3737,1.0448,7.096,9.9,10.13
002827.SZ,103.0892,6.4567,2.979,3.1956,38.6507,-10.8367,33.3573,0.8922,8.4359,8.87,8.91
002828.SZ,37.7228,1.3081,4.8166,1.406,14.5758,-10.6473,31.2008,2.4474,3.8394,9.43,9.37
002829.SZ,330.9522,9.9239,1.3723,1.0642,81.6462,-13.0661,37.672,4.0566,-31.9614,24.27,28
